Industry,Award_Value
SHIP BUILDING AND REPAIRING,94048616861.34
COMPUTER SYSTEMS DESIGN SERVICES,33248952035.3
ENGINEERING SERVICES,27909728764.65
"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)",17071149794.11
TELEMARKETING BUREAUS AND OTHER CONTACT CENTERS,11025750844.55
OTHER COMPUTER RELATED SERVICES,10043915753.48
"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",7757318146.64
"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES",6768183312.21
FACILITIES SUPPORT SERVICES,6570077742.78
WIRED TELECOMMUNICATIONS CARRIERS,5947220331.9800005
